t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,2_0_1,7,3,5.02318e-12,1.72177,203.913,-203.913
0,2_0_1,8,1,6.55004e-11,-1.17716,192.76,-192.76
0,2_0_1,8,2,8.79881e-12,2.25919,201.479,-201.479
0,2_0_1,8,3,1.14618e-12,1.5896,210.33,-210.33
0,2_0_1,9,1,1.63496e-09,-1.15816,178.788,-178.788
0,2_0_1,9,2,1.16981e-09,2.2692,180.242,-180.242
0,2_0_1,9,3,3.71841e-14,1.61105,225.219,-225.219
0,2_0_1,10,1,4.2971e-13,-1.13916,214.591,-214.591
0,2_0_1,10,2,4.92898e-13,2.27921,213.995,-213.995
0,2_0_1,10,3,6.16782e-13,1.6325,213.021,-213.021
0,2_0_1,11,1,4.10302e-16,-1.12016,244.792,-244.792
0,2_0_1,11,2,9.80621e-15,-0.852373,231.008,-231.008
0,2_0_1,11,3,6.94009e-14,1.65394,222.509,-222.509
0,2_0_1,12,1,2.47564e-14,-1.22213,226.986,-226.986
0,2_0_1,12,2,2.76463e-15,2.21698,236.506,-236.506
0,2_0_1,12,3,1.7168e-14,1.52178,228.576,-228.576
0,2_0_1,13,1,6.12879e-15,-1.20313,233.049,-233.049
0,2_0_1,13,2,1.44532e-13,2.22699,219.323,-219.323
0,2_0_1,13,3,3.82737e-14,1.54322,225.094,-225.094
0,2_0_1,14,1,7.80243e-13,-1.18413,212,-212
0,2_0_1,14,2,2.42693e-14,2.237,227.072,-227.072
0,2_0_1,14,3,2.28987e-14,1.56467,227.325,-227.325
0,2_0_1,15,1,7.25359e-13,-1.16513,212.317,-212.317
0,2_0_1,15,2,1.97088e-12,2.24701,207.976,-207.976
0,2_0_1,15,3,5.98963e-13,1.58612,213.149,-213.149
0,2_0_1,16,1,2.69858e-12,-1.2671,206.611,-206.611
0,2_0_1,16,2,7.79539e-12,2.17476,202.004,-202.004
0,2_0_1,16,3,1.03523e-13,1.45395,220.772,-220.772
0,2_0_1,17,1,2.01237e-14,-1.2481,227.886,-227.886
0,2_0_1,17,2,3.22432e-12,2.18477,205.838,-205.838
0,2_0_1,17,3,1.04062e-12,1.4754,210.75,-210.75
0,2_0_1,18,1,4.76075e-12,-1.2291,204.146,-204.146
0,2_0_1,18,2,1.02813e-11,2.19478,200.802,-200.802
0,2_0_1,18,3,6.98821e-13,1.49684,212.479,-212.479
0,1_0_9,0,1,2.51192e-12,-1.08723,206.923,-206.923
0,1_0_9,0,2,8.37511e-13,2.34362,211.693,-211.693
0,1_0_9,0,3,2.18521e-13,1.72526,217.528,-217.528
0,1_0_9,1,1,8.6847e-12,-1.06823,201.535,-201.535
0,1_0_9,1,2,1.37675e-11,2.35363,199.534,-199.534
0,1_0_9,1,3,7.88217e-13,1.7467,211.956,-211.956
0,1_0_9,2,1,4.62241e-12,-1.04923,204.274,-204.274
0,1_0_9,2,2,2.3052e-11,2.36364,197.296,-197.296
0,1_0_9,2,3,1.36796e-12,1.76815,209.562,-209.562
0,1_0_9,3,1,6.52813e-13,-1.03023,212.775,-212.775
0,1_0_9,3,2,5.73914e-13,2.37365,213.334,-213.334
0,1_0_9,3,3,3.55402e-13,1.7896,215.416,-215.416
0,1_0_9,4,1,2.90365e-13,-1.1322,216.293,-216.293
0,1_0_9,4,2,5.72172e-13,2.3014,213.348,-213.348
0,1_0_9,4,3,1.96289e-14,1.65743,227.994,-227.994
0,1_0_9,5,1,2.50818e-12,-1.1132,206.929,-206.929
0,1_0_9,5,2,8.76219e-13,2.31141,211.497,-211.497
0,1_0_9,5,3,7.22151e-13,1.67888,212.336,-212.336
0,1_0_9,6,1,2.18108e-12,-1.09419,207.536,-207.536
0,1_0_9,6,2,6.23372e-14,2.32142,222.975,-222.975
0,1_0_9,6,3,1.79617e-12,1.70032,208.379,-208.379
0,1_0_9,7,1,2.96216e-12,-1.07519,206.207,-206.207
0,1_0_9,7,2,2.11118e-13,2.33143,217.678,-217.678
0,1_0_9,7,3,5.02318e-12,1.72177,203.913,-203.913
0,1_0_9,8,1,6.55004e-11,-1.17716,192.76,-192.76
0,1_0_9,8,2,8.79881e-12,2.25919,201.479,-201.479
0,1_0_9,8,3,1.14618e-12,1.5896,210.33,-210.33
0,1_0_9,9,1,1.63496e-09,-1.15816,178.788,-178.788
0,1_0_9,9,2,1.16981e-09,2.2692,180.242,-180.242
0,1_0_9,9,3,3.71841e-14,1.61105,225.219,-225.219
0,1_0_9,10,1,4.2971e-13,-1.13916,214.591,-214.591
0,1_0_9,10,2,4.92898e-13,2.27921,213.995,-213.995
0,1_0_9,10,3,6.16782e-13,1.6325,213.021,-213.021
0,1_0_9,11,1,4.10302e-16,-1.12016,244.792,-244.792
0,1_0_9,11,2,9.80621e-15,-0.852373,231.008,-231.008
0,1_0_9,11,3,6.94009e-14,1.65394,222.509,-222.509
0,1_0_9,12,1,2.47564e-14,-1.22213,226.986,-226.986
0,1_0_9,12,2,2.76463e-15,2.21698,236.506,-236.506
0,1_0_9,12,3,1.7168e-14,1.52178,228.576,-228.576
0,1_0_9,13,1,6.12879e-15,-1.20313,233.049,-233.049
0,1_0_9,13,2,1.44532e-13,2.22699,219.323,-219.323
0,1_0_9,13,3,3.82737e-14,1.54322,225.094,-225.094
0,1_0_9,14,1,7.80243e-13,-1.18413,212,-212
0,1_0_9,14,2,2.42693e-14,2.237,227.072,-227.072
