t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,1.05465e-12,2.73899,210.692,-210.692,-4.1185e-07,-1.75391e-07
0,3_0_24,0,2,5.45644e-13,-0.0301947,213.554,-213.554,3.21835e-07,9.72068e-09
0,3_0_24,0,3,1.98156e-13,-2.916,217.953,-217.953,-1.89119e-07,4.3403e-08
0,3_0_24,0,4,5.3096e-14,-1.17863,223.672,-223.672,3.83877e-08,9.2815e-08
0,3_0_24,0,5,6.69633e-13,-2.62166,212.664,-212.664,-3.09557e-07,1.77214e-07
0,3_0_24,0,6,1.67411e-12,2.77212,208.685,-208.685,-5.25928e-07,-2.03668e-07
0,3_0_24,1,1,1.19261e-12,2.7315,210.158,-210.158,-4.36552e-07,-1.89785e-07
0,3_0_24,1,2,1.55098e-12,-0.0460676,209.017,-209.017,5.42274e-07,2.4999e-08
0,3_0_24,1,3,1.39065e-13,-2.94382,219.491,-219.491,-1.59381e-07,3.19393e-08
0,3_0_24,1,4,1.69667e-14,-1.21868,228.627,-228.627,1.95816e-08,5.32938e-08
0,3_0_24,1,5,1.79602e-12,-2.6306,208.38,-208.38,-5.0954e-07,2.85678e-07
0,3_0_24,1,6,2.38114e-12,2.76216,207.155,-207.155,-6.24779e-07,-2.49135e-07
0,3_0_24,2,1,8.51977e-14,2.72402,221.618,-221.618,-1.16298e-07,-5.1598e-08
0,3_0_24,2,2,4.91931e-14,-0.0619406,224.004,-224.004,9.64928e-08,5.98448e-09
0,3_0_24,2,3,6.74957e-15,-2.97164,232.63,-232.63,-3.52949e-08,6.05707e-09
0,3_0_24,2,4,1.00951e-14,-1.27644,230.882,-230.882,1.27064e-08,4.1912e-08
0,3_0_24,2,5,2.64651e-13,-2.63955,216.696,-216.696,-1.96569e-07,1.07909e-07
0,3_0_24,2,6,7.42739e-14,2.7522,222.214,-222.214,-1.09901e-07,-4.50978e-08
0,3_0_24,3,1,1.5474e-13,2.71653,219.027,-219.027,-1.56207e-07,-7.07094e-08
0,3_0_24,3,2,3.02849e-13,-0.0778135,216.111,-216.111,2.39152e-07,1.86469e-08
0,3_0_24,3,3,2.19166e-13,-2.99945,217.515,-217.515,-2.02005e-07,2.89077e-08
0,3_0_24,3,4,1.85777e-14,-1.27142,228.233,-228.233,1.75218e-08,5.67693e-08
0,3_0_24,3,5,3.29683e-13,-2.64849,215.742,-215.742,-2.20464e-07,1.18472e-07
0,3_0_24,3,6,4.4482e-14,2.74223,224.441,-224.441,-8.46984e-08,-3.57459e-08
0,3_0_24,4,1,3.39244e-13,2.81678,215.618,-215.618,-2.40607e-07,-8.10228e-08
0,3_0_24,4,2,9.56439e-14,0.0513649,221.116,-221.116,1.34627e-07,-6.9212e-09
0,3_0_24,4,3,3.49238e-13,-2.82758,215.492,-215.492,-2.44999e-07,7.95643e-08
0,3_0_24,4,4,3.76507e-14,-1.10087,225.165,-225.165,3.82992e-08,7.54109e-08
0,3_0_24,4,5,1.4723e-13,-2.53875,219.243,-219.243,-1.37771e-07,9.48297e-08
0,3_0_24,4,6,8.88034e-13,2.84779,211.438,-211.438,-3.93162e-07,-1.18954e-07
0,3_0_24,5,1,4.97889e-13,2.80929,213.951,-213.951,-2.90743e-07,-1.00336e-07
0,3_0_24,5,2,1.00691e-13,0.035492,220.893,-220.893,1.38229e-07,-4.90808e-09
